2023-05-21 10:33:59 {'type': 'Interactive-Diagnostics'}  Running report Roll report sysproduction.reporting.roll_report.roll_report email {'instrument_code': 'ALL'}
2023-05-21 10:35:31 {'type': 'Interactive-Diagnostics'}  Running report Market monitor report sysproduction.reporting.market_monitor_report.market_monitor_report email {'start_date': arg not supplied, 'end_date': arg not supplied}
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData'} [Warning] futuresInstrumentWithIBConfigData(instrument=MSCIASIA, ib_data=symbol='M1MS', exchange='EUREX', currency='USD', ibMultiplier='100.0', priceMagnifier='1.00', ignoreWeekly='FALSE', effective_multiplier='100.00') could not resolve contracts: You have specified weekly expiries, but I don't have logic for MSCIASIA
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'MSCIASIA', 'contract_date': '20230600'} [Warning] Contract is missing can't get expiry
2023-05-30 20:01:28 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'MSCIASIA', 'contract_date': '20230600'}  Can't resolve contract
2023-05-30 20:01:29 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US10', 'contract_date': '20230900'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from US10/20230900!
2023-05-30 20:01:29 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US10', 'contract_date': '20230900'} [Warning]  when getting trading hours from US10/20230900!
2023-05-30 20:01:29 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'US10', 'contract_date': '20230900'}  No IB expiry date found
2023-05-30 20:01:29 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'LEANHOG', 'contract_date': '20230800'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from LEANHOG/20230800!
2023-05-30 20:01:29 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'LEANHOG', 'contract_date': '20230800'} [Warning]  when getting trading hours from LEANHOG/20230800!
2023-05-30 20:01:29 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'LEANHOG', 'contract_date': '20230800'}  No IB expiry date found
2023-05-30 20:01:30 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'RICE', 'contract_date': '20231100'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from RICE/20231100!
2023-05-30 20:01:30 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'RICE', 'contract_date': '20231100'} [Warning]  when getting trading hours from RICE/20231100!
2023-05-30 20:01:30 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'RICE', 'contract_date': '20231100'}  No IB expiry date found
2023-05-30 20:01:30 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CLP', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from CLP/20230600!
2023-05-30 20:01:30 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CLP', 'contract_date': '20230600'} [Warning]  when getting trading hours from CLP/20230600!
2023-05-30 20:01:30 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CLP', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:05:05 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'DOW_mini', 'contract_date': '20230900'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from DOW_mini/20230900!
2023-05-30 20:05:05 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'DOW_mini', 'contract_date': '20230900'} [Warning]  when getting trading hours from DOW_mini/20230900!
2023-05-30 20:05:05 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'DOW_mini', 'contract_date': '20230900'}  No IB expiry date found
2023-05-30 20:05:05 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EUR_mini', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from EUR_mini/20230600!
2023-05-30 20:05:05 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EUR_mini', 'contract_date': '20230600'} [Warning]  when getting trading hours from EUR_mini/20230600!
2023-05-30 20:05:05 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EUR_mini', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:05:06 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CHEESE', 'contract_date': '20230700'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from CHEESE/20230700!
2023-05-30 20:05:06 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CHEESE', 'contract_date': '20230700'} [Warning]  when getting trading hours from CHEESE/20230700!
2023-05-30 20:05:06 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CHEESE', 'contract_date': '20230700'}  No IB expiry date found
2023-05-30 20:05:06 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GOLD_micro', 'contract_date': '20230800'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from GOLD_micro/20230800!
2023-05-30 20:05:06 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GOLD_micro', 'contract_date': '20230800'} [Warning]  when getting trading hours from GOLD_micro/20230800!
2023-05-30 20:05:06 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GOLD_micro', 'contract_date': '20230800'}  No IB expiry date found
2023-05-30 20:05:07 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'FTSEINDO', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from FTSEINDO/20230600!
2023-05-30 20:05:07 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'FTSEINDO', 'contract_date': '20230600'} [Warning]  when getting trading hours from FTSEINDO/20230600!
2023-05-30 20:05:07 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'FTSEINDO', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:05:07 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GBPCHF', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from GBPCHF/20230600!
2023-05-30 20:05:07 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GBPCHF', 'contract_date': '20230600'} [Warning]  when getting trading hours from GBPCHF/20230600!
2023-05-30 20:05:07 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GBPCHF', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:05:08 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CRUDE_W_micro', 'contract_date': '20230800'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from CRUDE_W_micro/20230800!
2023-05-30 20:05:08 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CRUDE_W_micro', 'contract_date': '20230800'} [Warning]  when getting trading hours from CRUDE_W_micro/20230800!
2023-05-30 20:05:08 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'CRUDE_W_micro', 'contract_date': '20230800'}  No IB expiry date found
2023-05-30 20:05:08 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'DAX', 'contract_date': '20230900'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from DAX/20230900!
2023-05-30 20:05:08 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'DAX', 'contract_date': '20230900'} [Warning]  when getting trading hours from DAX/20230900!
2023-05-30 20:05:08 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'DAX', 'contract_date': '20230900'}  No IB expiry date found
2023-05-30 20:05:09 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EUROSTX-SMALL', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from EUROSTX-SMALL/20230600!
2023-05-30 20:05:09 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EUROSTX-SMALL', 'contract_date': '20230600'} [Warning]  when getting trading hours from EUROSTX-SMALL/20230600!
2023-05-30 20:05:09 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EUROSTX-SMALL', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:05:09 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EU-DIV30', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from EU-DIV30/20230600!
2023-05-30 20:05:09 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EU-DIV30', 'contract_date': '20230600'} [Warning]  when getting trading hours from EU-DIV30/20230600!
2023-05-30 20:05:09 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'EU-DIV30', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:05:10 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'NIKKEI', 'contract_date': '20230600'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from NIKKEI/20230600!
2023-05-30 20:05:10 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'NIKKEI', 'contract_date': '20230600'} [Warning]  when getting trading hours from NIKKEI/20230600!
2023-05-30 20:05:10 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'NIKKEI', 'contract_date': '20230600'}  No IB expiry date found
2023-05-30 20:05:10 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GOLD', 'contract_date': '20230800'} [Warning] unsupported operand type(s) for +: 'int' and 'str' when getting trading hours from GOLD/20230800!
2023-05-30 20:05:10 {'type': 'Interactive-Diagnostics', 'component': 'ibFuturesContractData', 'instrument_code': 'GOLD', 'contract_date': '20230800'} [Warning]  when getting trading hours from GOLD/20230800!
